Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
2295,Sector 44 Noida,1,Sector 44 Noida,Outside,Outside Delhi
2296,Jheel Terminal,1,Nill,-,Unmatched
2297,Shakti Vihar,1,Shiv Vihar,48,AI Match (81%)
2298,Tringa Chawk,1,Nill,-,Unmatched
2299,Gurgaon Sector 51,1,Gurgaon Sector 51,Outside,Outside Delhi
2300,Gurgaon Sector 64,1,Gurgaon Sector 64,Outside,Outside Delhi
2301,Malwiye Nagar,1,Malviya Nagar,13,AI Match (84%)
2302,Laddu Sarai,1,Ladosarai,20,AI Match (80%)
2303,Gurgaon Sector 62,1,Gurgaon Sector 62,Outside,Outside Delhi
2304,Chatar Pur Mandir,1,Nill,-,Unmatched
2305,Ahmednagar,1,Ambedkar Nagar,22,AI Match (75%)
2306,Hariyan,1,Nill,-,Unmatched
2307,Badarpur Bihar,1,Badarpur,283,Alias Match
2308,Badr Pur,1,Badar Pur,284,AI Match (94%)
2309,Shiv Mandir,1,Nill,-,Unmatched
2310,Milan Garden,1,Mohan Garden,209,AI Match (83%)
2311,Gurgaon Sector 63,1,Gurgaon Sector 63,Outside,Outside Delhi
2312,Noida Sector 37,1,Noida Sector 37,Outside,Outside Delhi
2313,Bandwari,1,Nill,-,Unmatched
2314,Bas Kar,1,Nill,-,Unmatched
2315,Sarijan Basti,1,Nill,-,Unmatched
2316,Shani Bajar,1,Nill,-,Unmatched
2317,Aya Nagar Extension,1,Aya Nagar,282,Alias Match
2318,Bihari Park,1,Nill,-,Unmatched
2319,Ansal Villas,1,Nill,-,Unmatched
2320,Badro,1,Nill,-,Unmatched
2321,Sanik Park,1,Sawan Park,98,AI Match (80%)
2322,Naiwala,1,Nawada,216,AI Match (76%)
2323,Sal,1,Hastsal,186,Sub-Ward Match
2324,Nizamuddin Dargah Near India Gate,1,Hazrat Nizamuddin,14,Alias Match
2325,Kashmere Gate Isbt,1,ISBT Kashmere Gate,153,Alias Match
2326,Greater Noida Sector 16,1,Greater Noida Sector 16,Outside,Outside Delhi
2327,Iit Metro,1,IIT Delhi,8,Alias Match
2328,Gp Janpath,1,Nill,-,Unmatched
2329,Cannot Place,1,Nill,-,Unmatched
2330,Indian Institute Of Technology Delhi,1,Nill,-,Unmatched
2331,Kharcha Ni,1,Nill,-,Unmatched
2332,Mother Dairy Jamunapar,1,Nill,-,Unmatched
2333,Molarband Village Chock,1,Molarband,283,Alias Match
2334,Sadaarjung,1,Safdarjung Hospital / Enclave,218,AI Match (90%)
2335,Nanda Hospital,1,Nill,-,Unmatched
2336,Sushant Lok (Gurgaon),1,Sushant Lok Gurgaon,Outside,Outside Delhi
2337,Greatest Kailash,1,Greater Kailash,9,AI Match (90%)
2338,Cgo Complex Vihar,1,Nill,-,Unmatched
2339,Saint Anthony Colony,1,INA Colony,213,AI Match (75%)
2340,Radha Swami Society,1,Nill,-,Unmatched
2341,Sarojani Nagar,1,Sarojini Nagar,213,AI Match (92%)
2342,Dhulakuna,1,Dhaula Kuan,215,AI Match (80%)
2343,Katwariya,1,Nill,-,Unmatched
2344,Inderpuri Kunj,1,Inder Puri,202,AI Match (75%)
2345,Inder Puri (Krishi Kunj),1,Inder Puri,202,Sub-Ward Match
2346,Sadar Bazar (Gurgaon),1,Sadar Bazar Gurgaon,Outside,Outside Delhi
2347,Mother'S Angel International School,1,Nill,-,Unmatched
2348,Gold Market,1,Nill,-,Unmatched
2349,Dhaula,1,Dhaula Kuan,215,AI Match (100%)
2350,Vasant Kunj C-9,1,Vasant Kunj,274,Alias Match
2351,Aanndvihar,1,Anand Vihar,151,AI Match (85%)
2352,I.Lt,1,Nill,-,Unmatched
2353,Aiims( Hospital),1,AIIMS (Ansari Nagar),218,Alias Match
2354,Dera Gaon,1,Nill,-,Unmatched
2355,Nangal Devat Gaon,1,Nill,-,Unmatched
2356,Dehra,1,Nill,-,Unmatched
2357,New Delhi Station,1,New Delhi Railway Station,182,AI Match (100%)
2358,Mundrika,1,Munirka,270,AI Match (80%)
2359,Safdarjung (Hospital),1,Safdarjung Hospital,218,Alias Match
2360,Igloo Campus,1,Nill,-,Unmatched
2361,Ramakrishna Puram,1,R.K. Puram,216,AI Match (76%)
2362,Sarvodaya Enclave,1,Sarvodaya Enclave,11,Alias Match
2363,I. I..T College,1,Nill,-,Unmatched
2364,Laxmi Bai College,1,Nill,-,Unmatched
2365,Inder Puri,1,Inder Puri,202,Exact Ward Match
2366,Main Road,1,Minto Road,192,AI Match (84%)
2367,Archana Village,1,Ali Village,283,AI Match (77%)
2368,Katori Sarai,1,Katwaria Sarai,269,AI Match (84%)
2369,Katwari,1,Nill,-,Unmatched
2370,Mehrauli Delhi Work,1,Mehrauli,278,Alias Match
2371,Okhla Enclave,1,Okhla,287,Alias Match
2372,Delhi Haat (I.N.A),1,Nill,-,Unmatched
2373,Abdul Fazal Enclave,1,Abul Fazal Enclave,273,AI Match (97%)
2374,Katwariya Sarai,1,Katwaria Sarai,269,AI Match (96%)
2375,Okhla Junction,1,Okhla,287,Alias Match
